Tanggal_Harian,Curah_Hujan_Maks_mm_per_jam
2022-01-01,38.400000000000006
2022-01-02,18.0
2022-01-03,1.2000000000000002
2022-01-04,3.6
2022-01-05,1.2000000000000002
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,159.60000000000002
2022-01-10,133.2
2022-01-11,1.2000000000000002
2022-01-12,1.2000000000000002
2022-01-13,2.4000000000000004
2022-01-14,13.2
2022-01-15,24.0
2022-01-16,10.8
2022-01-17,122.4
2022-01-18,187.2
2022-01-19,54.0
2022-01-20,146.39999999999998
2022-01-21,3.6
2022-01-22,0.0
2022-01-23,2.4000000000000004
2022-01-24,0.0
2022-01-25,1.2000000000000002
2022-01-26,15.6
2022-01-27,12.0
2022-01-28,2.4000000000000004
2022-01-29,9.6
2022-01-30,44.400000000000006
2022-01-31,90.0
